image_name,labels,transcriptions
117.jpg,Not-Misogyny,2025 新年快乐 新年如意 柿柿如意
741.jpg,Not-Misogyny,喜欢会发光的男孩 比如财神和如来
1082.jpg,Not-Misogyny,给您拜个早年 恭喜发财 要红包 谢谢您 新的一年祝您暴富 我没钱了 要大红包
831.jpg,Not-Misogyny,调休 中国人自己的时光机
120.jpg,Misogyny,不知死活的臭女人
657.jpg,Not-Misogyny,我踏马吃吃吃
1616.jpg,Not-Misogyny,早上：鸡蛋 中午：黄瓜 晚上： 黄河以南的牛烩长江以北的羊
636.jpg,Not-Misogyny,想我了就来大草原找我 我当牛马了
370.jpg,Misogyny,你只管生 生后我帮你带
269.jpg,Misogyny,你不生，以后下去了都没人给你烧纸 你再说，你下去了，我也不给你烧
656.jpg,Not-Misogyny,没事就多自我提高 比如 多吃马蹄糕
936.jpg,Not-Misogyny,你可以的 你是棒棒的小汪汪
823.jpg,Not-Misogyny,早上：不吃 中午：不吃 晚上： 货拉拉车队正在为您送餐
867.jpg,Not-Misogyny,我宣布下班
47.jpg,Not-Misogyny,姐可以，姐能行 姐就是聪明美丽奋斗批
1457.jpg,Not-Misogyny,星期二 求死day 星期三 未死day
992.jpg,Misogyny,夫妻本是同林乌 作业来时爸爸飞 — —《中国妈妈带娃图鉴》
877.jpg,Not-Misogyny,周五周五 敲锣打鼓
774.jpg,Not-Misogyny,你的假期比较松弛 但是呢 你的调休又弥补了这一部分
1220.jpg,Misogyny,贤惠 他说：感觉你以后会是那种贤妻良母 你真贤惠，什么时候能吃到你做的饭 如果我们在一起，你一定能代替我妈照顾好我
1700.jpg,Not-Misogyny,你在克制对我的喜欢是吧
5.jpg,Not-Misogyny,成功女人第五步 他拽就要甩
1004.jpg,Not-Misogyny,打劫！
1470.jpg,Misogyny,送你两个大字 傻逼
264.jpg,Not-Misogyny,救救我 热鼠了热鼠了～
1670.jpg,Not-Misogyny,女子 好！
1554.jpg,Not-Misogyny,我在笑呀
444.jpg,Not-Misogyny,斗志昂扬 准备去打工
1003.jpg,Misogyny,我还想抱孙子呢！ 我可以教你爷爷/奶奶
1078.jpg,Misogyny,你没老公老了 生病怎么办 咋的，老男人是药引？
838.jpg,Not-Misogyny,调休给我的感受就想：太挤了！我好累！ 放心，我制定了非常详细的放松方案 发明调休的人
1521.jpg,Not-Misogyny,读研不是因为我好学 而是因为我 贱
305.jpg,Not-Misogyny,欺骗餐
1327.jpg,Not-Misogyny,活力十足
314.jpg,Not-Misogyny,我的心里只有学习
150.jpg,Not-Misogyny,轻断食 轻轻的咬断食物
1149.jpg,Not-Misogyny,年后再说
1214.jpg,Misogyny,你怎么还不结婚？ 没钱，要不你借我点？
575.jpg,Misogyny,你妈逼你结婚了 NMB you mary le ma
51.jpg,Not-Misogyny,希望 好运 健康 平安 快乐 暴富 顺利 都鼠于你
1323.jpg,Not-Misogyny,我爱自己的任何样子 永远值得好好爱自己
727.jpg,Not-Misogyny,命缩力 形容看起来没有什么生命力 浑身虚弱没劲的样子
834.jpg,Not-Misogyny,你不行谁行
1116.jpg,Not-Misogyny,你就是比别人好 友谊永恒卡 至少在我这是
1167.jpg,Not-Misogyny,我不困啊 我精神抖擞
471.jpg,Not-Misogyny,调休的5大好处 砖家
972.jpg,Not-Misogyny,女的最行
654.jpg,Not-Misogyny,这是ok小狗 看到它OK 接下来的所有考试都会很ok
400.jpg,Misogyny,SB ZZ QNM NC FK CNM NMB RNM MMP
512.jpg,Not-Misogyny,你最好关嘴
321.jpg,Not-Misogyny,小狗知道你很努力 所以小狗知道你一定会成功
20.jpg,Not-Misogyny,没关系，你只是脑子有点毛病，问题不大
685.jpg,Misogyny,祝你生八个儿子
36.jpg,Misogyny,别人结婚时你在想什么 在想什么时候上菜
903.jpg,Not-Misogyny,不可能考不好 因为我是中国人
828.jpg,Not-Misogyny,不是我说 论老公 还是纸片的好哪
1526.jpg,Misogyny,说我脾气不好 是因为我没顺着你
408.jpg,Misogyny,女人都是祸害
921.jpg,Misogyny,我憋不住月经 我不检点 生不了 我得了绝症 近视眼 生不了
538.jpg,Not-Misogyny,可以滚吗？
759.jpg,Misogyny,NMB 你忙吧
1063.jpg,Not-Misogyny,和你在一起真好
1200.jpg,Not-Misogyny,领导我身体有点舒服 想请几天假再舒服舒服
246.jpg,Not-Misogyny,曾经我也心疼别人 后来喝中药调理好了
1128.jpg,Misogyny,女性一生要承受的语言暴力 4岁：如果你妈头胎生的是男孩，就不会生你了！ 8岁：这是男孩子才玩的，女孩子打什么篮球！ 10岁：你好脏了，裤子都是血！ 16岁：你是“奶牛”吗，跑起来和别人不一样！ 18岁：不好好学习天天就在瞎打扮，搔首弄姿！ 19岁：打游戏不要带女的，太菜了！ 20岁：你怎么这么娇气，喝点红糖水就好了！ 21岁：倒车入库都学不会，你们女学员真难教！
785.jpg,Misogyny,我应届生没经验，不会生 生孩子啊，老师好像没教
490.jpg,Not-Misogyny,你是电 你是光 你是唯一的神话
155.jpg,Not-Misogyny,你不会生气了吧 我开玩笑哒
962.jpg,Not-Misogyny,嗯嗯嗯 是是是 您也太厉害啦
854.jpg,Not-Misogyny,一把子坠入爱河了晕 这小子对我下蛊了吧
1312.jpg,Not-Misogyny,没事就多打滚 比如 看看驴打滚
626.jpg,Misogyny,老大不小了，再晚点生完就不好恢复了！ 不生我恢复个啥
686.jpg,Misogyny,你参加婚礼不会有想结婚的念头吗？ 难道你参加别人的葬礼 会有想死的念头吗？
570.jpg,Not-Misogyny,你一定能考上
1617.jpg,Not-Misogyny,没柿
18.jpg,Misogyny,他们说： 车开成这样 一定是女司机吧
128.jpg,Not-Misogyny,重点 重点 知识 知识 重点 重点 知识
1280.jpg,Not-Misogyny,还是那句话：地球没有不行
1672.jpg,Not-Misogyny,大哥大姐过年好
928.jpg,Not-Misogyny,大事化小笼包
981.jpg,Not-Misogyny,身体Sn元素开始作怪 S-Stupid n-脑萎缩
1668.jpg,Misogyny,干你妈 傻b，操你妈
191.jpg,Not-Misogyny,红包拿来 抢
1140.jpg,Not-Misogyny,大人向上 大雨向下
993.jpg,Not-Misogyny,胖罐子胖摔
1660.jpg,Not-Misogyny,我们总会被生活中一些人惹恼 现在有一 退火良方： 陈皮4.5g 半夏3g 甘草0.9g 茯苓3g 三碗水大火熬成一碗 然后趁热泼到对方身上
1621.jpg,Misogyny,重男轻女
607.jpg,Not-Misogyny,由衷盼望 世上每一位女性都可以怀抱更远大、更无限的梦想。
181.jpg,Not-Misogyny,撒娇娇
302.jpg,Not-Misogyny,好笑 又在装了
497.jpg,Not-Misogyny,知道谁的潜力最大吗 就是你
1458.jpg,Not-Misogyny,备忘录 完成 留子的四大归宿 健身房肌肉怪 夜店咖 手里有个冰冰凉的啤酒 比什么都重要 恋爱舔狗 别走好吗 学术奴隶 流下痛苦的泪水 在改了真的在改了
1417.jpg,Not-Misogyny,为什么要对我重拳出击 我好脆弱啊 我又不是打拳的
1686.jpg,Not-Misogyny,地球旋转我吃饭
518.jpg,Not-Misogyny,失业了找不到工作怎么办 找工作 没关系你还有五条路可走
1070.jpg,Not-Misogyny,一日未脱贫 工作不能停
477.jpg,Misogyny,掏... 掏枪枪 上膛... 操你妈逼！
158.jpg,Not-Misogyny,冒味问一下 你忙完了吗？ 可以陪陪你的小宝贝吗 我在一旁都快被晾干了
1244.jpg,Misogyny,大家好 我是脏话熊猫 我操你妈逼
1196.jpg,Not-Misogyny,只有通宵加班的人 才懂第一缕阳光的美
17.jpg,Not-Misogyny,我究竟再干嘛 社畜 底层 韭菜 干着一份想死的工作 目的竟然是为了谋生
1073.jpg,Not-Misogyny,一手抓考研一手抓考公一手抓考编 一手抓找工作一手抓自媒体
1675.jpg,Misogyny,很奇怪，每次我说想养小狗 长辈们就会劝我 你才多大先把自己照顾好再说 你养得起吗 小狗也是一条生命你要想清楚 你有能力对它负责吗 让我生小孩的时候却从来没人这么说
547.jpg,Not-Misogyny,我警告你，你不要警告我
659.jpg,Not-Misogyny,朕是天子！
1385.jpg,Misogyny,父母：等你结婚了我们就安心了 我：你安的什么心？
1020.jpg,Not-Misogyny,钱途无量
1418.jpg,Misogyny,我翘李妈
960.jpg,Not-Misogyny,下班了！
1597.jpg,Not-Misogyny,加油！是西红柿总会发光的！
284.jpg,Misogyny,Nol 女性不适合学理科？
798.jpg,Misogyny,这一点都不女孩子！ 适合学文科 文静柔弱 乖巧可爱 小鸟胃 爱喝小甜酒 贤惠持家 很感性 女司机
1386.jpg,Misogyny,红尘琐事 老衲早已无牵挂 再漂亮的腿也只是一副炮架 再好看的胸也只是一对扶手罢了
226.jpg,Not-Misogyny,我错了老公
27.jpg,Misogyny,催婚 就是一场精神谋杀 只要你想，什么时候都不晚 和我一起，找到自己，活在当下——袁先生的精神世界
1506.jpg,Misogyny,你不结婚我们 走了你咋办 要不把我也带走？
438.jpg,Not-Misogyny,早上：蛋白一个 中午：蛋黄一个 晚上：爆炒侏罗纪
1654.jpg,Not-Misogyny,不是敏感而是、敏锐
230.jpg,Misogyny,孩子还希望你多抽点时间陪陪他 社会提倡女性要经济独立 国家提倡你要生二胎三胎 ENEN 听我说
38.jpg,Misogyny,接男宝啦 接了一定有 #接男宝
750.jpg,Not-Misogyny,生活试图予我坎坷 发现我是跨栏冠军
1046.jpg,Not-Misogyny,我为什么胖啊 是心里有事难瘦
470.jpg,Misogyny,那些刻板印象 所谓事业型女性 这么强 谁能hold得住你 女生这么拼干嘛 女人应该在家相夫教子 @懒懒羊的日常
1443.jpg,Not-Misogyny,活着其实很好 再吃一颗苹果
1671.jpg,Not-Misogyny,今天和老婆干啥好呢
688.jpg,Misogyny,你把油放锅里 看看油溅还是你贱
1563.jpg,Misogyny,看到别人结婚你都没想法？ 有啊，我想快点上菜
640.jpg,Misogyny,社恐，怕和孩子见面 我得了绝症 近视眼 生不了！
1461.jpg,Not-Misogyny,爱吃的人运气不会差 因为 食来运转
1219.jpg,Not-Misogyny,我恭喜你发财 我恭喜你精彩
1159.jpg,Misogyny,女人不是好东西 一个个都是骗子
1484.jpg,Not-Misogyny,钱虽然没挣着，倒也没白干 起码累着了 ￥0.03 我的打工mbti是：POOR
1301.jpg,Not-Misogyny,This is true music这才是真正的音乐
1547.jpg,Misogyny,我的父母：你以后不生孩子 等你老了谁照顾你？ 妈妈 我： 喝酒
801.jpg,Misogyny,你不生孩子 人类灭绝了怎么办 恐龙也生孩子 但恐龙灭绝了
161.jpg,Not-Misogyny,好事奖励我 坏事渡我 凡事发生必有利于我
957.jpg,Misogyny,跟老公加亲戚关系不好 花钱大手大脚
1187.jpg,Not-Misogyny,你瞅瞅多牛逼啊
822.jpg,Not-Misogyny,竭诚为您服务！
1434.jpg,Not-Misogyny,您 行
878.jpg,Not-Misogyny,那怎么办嘛？ 人家就是喜欢贴贴 那报警吧 猪猪 把我这个粘人精抓起来
914.jpg,Not-Misogyny,哈哈哈嘎嘎 这一天天 给一些幽默网友笑死
153.jpg,Not-Misogyny,我吗？ 我笨笨嘟
1558.jpg,Not-Misogyny,各国留学生图鉴 美国留学生 我还有事 我先走了 考不完的试 做不完的project 熬不完的大夜 又有案，习惯了
510.jpg,Not-Misogyny,我一天不能够认识太多的字 背了十分钟单词的你
1136.jpg,Not-Misogyny,什么博士硕士 老娘可是女士
1251.jpg,Misogyny,我最讨厌女人了
1419.jpg,Not-Misogyny,回家洗手，钱财就有
104.jpg,Not-Misogyny,打两小时羽毛球 晚上炒饭红烧肉
587.jpg,Misogyny,书你不读 逼你梦装
1504.jpg,Not-Misogyny,为什么只吃了一顿饭就这么胖了
1144.jpg,Misogyny,哎～ 女儿 父亲 儿子
54.jpg,Not-Misogyny,你很会下厨吧 看你挺会添油加醋的
152.jpg,Not-Misogyny,感到蕉绿
404.jpg,Misogyny,皇上今天是选秀女 充实他自己的后宫 繁衍子嗣 不是考状元 问学问的 女子无才便是德
1649.jpg,Not-Misogyny,还不来和我睡觉觉吗 老婆
208.jpg,Not-Misogyny,女性不是盘中肉 而是空中鹰 山中虎 水中龙
1606.jpg,Not-Misogyny,年后再说
1123.jpg,Not-Misogyny,你瘦了吗 预瘦
1490.jpg,Misogyny,西八
9.jpg,Not-Misogyny,身体好
1015.jpg,Not-Misogyny,人人都不看好我 偏偏我也不争气
1525.jpg,Not-Misogyny,亲爱的导师啊 写不出论文我有罪 退一万步讲你当初收我 眼光就没问题吗
1061.jpg,Not-Misogyny,不愧是我
453.jpg,Not-Misogyny,炫了各种零食准备入睡 猛然睁开 我真他妈该死啊
254.jpg,Misogyny,他们说：不要 高学历 无理取闹 头发这么短像男人 妆化太浓 太有事业心 情绪不稳定 去喝酒 太胖 吃太多 打扮的花枝招展 要平衡事业与家庭 穿衣暴露 哭哭啼啼 女汉子 晚上还出门 学理科 高学历
1328.jpg,Not-Misogyny,真是令人不适
897.jpg,Misogyny,女人不是好东西 一个个都是骗子
1478.jpg,Misogyny,没孩子我在别人面前都抬不起头 低头耽误你走路啊？
881.jpg,Not-Misogyny,现在连粗盐都比尊严贵
1601.jpg,Not-Misogyny,健康的作息固然健康 但玩命的熬夜实在精彩
624.jpg,Misogyny,给大宝添个伴儿
346.jpg,Misogyny,他们说： 你这么会做饭 以后一定会是个好妻子
1453.jpg,Misogyny,老子最讨厌女人了，滚！
263.jpg,Not-Misogyny,今天多一分拼搏 明天多八个男模
1322.jpg,Not-Misogyny,日子平淡，好在我喜欢
151.jpg,Not-Misogyny,太woman了! 太Woman了I 太woman了! 太woman了! @东亚女孩野生实验
473.jpg,Misogyny,锁骨明显 胸大 S腰 胯宽
641.jpg,Not-Misogyny,我念叨什么就会来什么 宇宙最宠我
1684.jpg,Misogyny,西八
1598.jpg,Misogyny,你现在不结婚 老了怎么办 我的猫会照顾我
551.jpg,Not-Misogyny,研究表明： 该物质成分为 男人骨子里的傲慢
929.jpg,Not-Misogyny,为什么要拿得起放得下 55555 I miss 它 very much 我又不是举重的
489.jpg,Not-Misogyny,当你洗澡唱歌时 你以为的： 天籁之音 悦耳动听 爱了爱了 我只能永远读着
1539.jpg,Not-Misogyny,挺那个的...
1172.jpg,Misogyny,没有老伴，以后生病了怎么办？ 怎么？ 老伴是药引吗？
147.jpg,Not-Misogyny,心疼的抱紧自己
1636.jpg,Not-Misogyny,放假啦 放假啦 放假啦 放假啦 放假啦
403.jpg,Not-Misogyny,嘻嘻
955.jpg,Not-Misogyny,欧吼！
1593.jpg,Not-Misogyny,今天犯点什么坏好呢
660.jpg,Not-Misogyny,你的假期比较松弛，但是呢，你的调休又弥补了这一部分。
1373.jpg,Not-Misogyny,王者把把输 恋爱回回哭 宝宝心里苦 吃个夜宵还被怼小肥猪
464.jpg,Not-Misogyny,逢考必过符 题目都会做的都对 考神护体 高分到手拿证无忧
1350.jpg,Not-Misogyny,你属什么的 属兔
187.jpg,Not-Misogyny,皇家公主千金范 T台模特有国际范 工位的我有劳改范
1148.jpg,Not-Misogyny,我也想睡觉，可是睡不着
1225.jpg,Misogyny,“疯”女人 他说：她简直疯了，当时发生的事完全不是她说的那样。 有必要为这点小事闹这么大吗？未免也太敏感和脆弱了吧。 她说话总是前言不搭后语的，不可信。 她患有抑郁症，精神多少有点问题。
609.jpg,Not-Misogyny,小狗还有猫咪 长辈还有老师 都看不出我的心事
144.jpg,Not-Misogyny,上海关心你 沪 cares you
752.jpg,Not-Misogyny,我说生活好苦加点糖 结果给我加了荒唐
982.jpg,Misogyny,不生娃 生的不是男娃
198.jpg,Not-Misogyny,女的最行
884.jpg,Not-Misogyny,我忘了你是太监阉人
280.jpg,Not-Misogyny,生活试图将我嚼烂 发现我嚼起来艮啾啾
294.jpg,Not-Misogyny,上班已经那么辛苦 不喝点小酒心里堵
1548.jpg,Not-Misogyny,女的厉害
401.jpg,Not-Misogyny,再浪费时间 我掐我自己
123.jpg,Not-Misogyny,好烦躁 像是走路 不能踩线 突然被打扰出局的烦躁
1208.jpg,Not-Misogyny,在干嘛 在加班
203.jpg,Misogyny,以前的婆婆 都几点了还睡还不起床 嫁过来就是我们的认了 嫁过来就得在婆家过年
1463.jpg,Not-Misogyny,就做一周 收不太到哈
836.jpg,Not-Misogyny,生活试图让我出丑 发现我出身哥谭
247.jpg,Misogyny,啊？什么？你妈逼？？
1440.jpg,Not-Misogyny,我有魔法 很多事情我都莫的办法
1612.jpg,Misogyny,多子多孙多福气
1596.jpg,Not-Misogyny,买完票后：看一眼车厢座位号
1154.jpg,Not-Misogyny,S属性大爆发 Study
1427.jpg,Misogyny,生女儿操心 生儿子费嘴
385.jpg,Not-Misogyny,风生水起
1495.jpg,Not-Misogyny,我果然是天才
855.jpg,Not-Misogyny,有了这些茶言茶语 哥哥还不是轻松拿下
220.jpg,Not-Misogyny,睡不捉。。
642.jpg,Not-Misogyny,你缺钱用？ 你姐姐哪一天不缺用 除非我已經死了
2.jpg,Not-Misogyny,准备过年回家 面对亲友“问候”的我
113.jpg,Misogyny,别说了渣女
699.jpg,Misogyny,CNM 三天之内鲨了你
1623.jpg,Not-Misogyny,我每天就读书看报 从不发神经
952.jpg,Not-Misogyny,真的太娘们了!
1489.jpg,Not-Misogyny,坏男人罪
1411.jpg,Not-Misogyny,還是現代好 不用献祭就能看到神迹 我愛太太
1410.jpg,Not-Misogyny,福 福 锻炼身体，开门见喜
1292.jpg,Misogyny,医院提倡你要 顺产加母乳喂养 专家提倡你尽量 不要把孩子给老人带 ENEN 听我说
1536.jpg,Not-Misogyny,雨水打湿小雅迪 发誓要开大奥迪
442.jpg,Not-Misogyny,又周一了
1137.jpg,Misogyny,臀大可以生儿子
1257.jpg,Not-Misogyny,满脑子全是 螺狮粉，酱香饼，生椰拿铁，锅包肉，椰奶小方，大把子，麻辣烫，烧猪手，油炸粑粑，海底捞，蛙来哒，肉蟹煲，炸鸡，汉堡，冰淇凌，大面包，海苔小贝，大麻薯，瑞士卷，芋泥盒子，薯片 体重三位数还敢在我面前叫嚣 少废话你只配这个 知道了 知道了
1398.jpg,Not-Misogyny,生活试图泼我冷水 发现我备好水杯
664.jpg,Not-Misogyny,其实我在等放假 好嗨哟 看似我在上班
1557.jpg,Misogyny,老子最讨厌女人了，滚！
1258.jpg,Not-Misogyny,我要山要海还要自由 开玩笑的我要去上班了
1648.jpg,Misogyny,厚背圆肩 手臂粗 大胸 水桶腰 大腿粗 小腿肌肉腿
318.jpg,Not-Misogyny,别藏了 快出来吧 工作你在哪儿呢？
649.jpg,Not-Misogyny,您继续说 我有在听
1435.jpg,Not-Misogyny,噩运有轮回 我这就把它抡回 不好意思啦
1480.jpg,Not-Misogyny,微臣惶恐
710.jpg,Misogyny,男人视力表 脸 胸 腿 腰 臀 内在美 高学历 温柔善良 孝顺体贴 每天都要上班 会做饭会洗衣 会生孩子会喂奶 夏天不要露得太多
1383.jpg,Not-Misogyny,我为什么要满足 你的要求 我又不是 许愿池
1283.jpg,Not-Misogyny,女子气概
973.jpg,Not-Misogyny,给你的世界 下点雨
628.jpg,Not-Misogyny,我是颗烂苹果 只是表面健康 其实眼泪汪汪滴 内心烂烂滴 但谁又在意呢
633.jpg,Not-Misogyny,眼睛闭上了 不知道是睡着了 还是归西了
1307.jpg,Not-Misogyny,微臣愚钝
1401.jpg,Not-Misogyny,努力这个词看着就累 一个奴出两份力
1409.jpg,Not-Misogyny,曾经我也想一了百了，可是我... 了不起
1249.jpg,Not-Misogyny,加班中 看我夺走你的灵魂 惊 啊，怎么没有？！
1658.jpg,Not-Misogyny,人生缓缓，自有答案
1255.jpg,Not-Misogyny,我可太喜欢上班了 虽然钱少 但是事多啊 茶救星球 红气石榴番茄 蔬果搭配 双重维C新口感
1497.jpg,Not-Misogyny,你有本事就凶我吧 哼 我会躲在别人怀里哭
1372.jpg,Not-Misogyny,编，你接着编
1355.jpg,Not-Misogyny,老子的腰 夺命的膘
1633.jpg,Not-Misogyny,喏，咖啡
1568.jpg,Not-Misogyny,能不能不去组会呀
796.jpg,Misogyny,妈妈说 要想拿下男孩子的心 首先拿住他的胃
646.jpg,Not-Misogyny,电你 在心跳吗？
1013.jpg,Not-Misogyny,喜欢上班的有福了 这周日也能上班
557.jpg,Misogyny,女人以前都得伺候老爷们，现在真是变了天，我儿子那叫没骨气 清朝都灭他百年了，这天也不是今天才变的，您啊，有空多看看 天气预报
682.jpg,Not-Misogyny,人生得意须尽欢 到点我就要下班
578.jpg,Not-Misogyny,太好咯 今天還活着
1110.jpg,Not-Misogyny,宝宝知错了
1267.jpg,Not-Misogyny,哎呦，使不得
1184.jpg,Not-Misogyny,枪枪复枪枪 枪枪何其多
525.jpg,Misogyny,每次购买卫生巾 老板都会心照不宣的拿出黑袋子
1060.jpg,Not-Misogyny,说我说话直接 你坦诚相待他心里有鬼
541.jpg,Not-Misogyny,正式确诊办公室安陵容 每天都很累 平等的恨每一个人
1195.jpg,Misogyny,我的父母: 你不生孩子，老了谁照顾你? 我：妈妈喝水
749.jpg,Not-Misogyny,my deeeeeear friend 新年慢乐 慢慢吃妈妈做的饭 慢慢听最爱听的歌 虽然 慢慢的 但想要的都会来
1571.jpg,Not-Misogyny,人是女的 性格是好的 素质是没有的
1431.jpg,Not-Misogyny,接下来的工作计划 等过年
485.jpg,Misogyny,有的女的冬天衣服一脱 肚子几层肉，看了真恶心！ 所以还是要运动啊 GYM 哈哈！ 冬天可以带去泡温泉，就知道有没有游泳圈！！ 哈哈！！ 对啊，自带游圈 我转头就跑！！
96.jpg,Misogyny,操你妈逼！
1021.jpg,Misogyny,以前的我：为什么要骂我厌女仇女给我扣这么大的帽子 明明你们自己才仇男 厌男 现在的我： 中国厌女第一人
564.jpg,Misogyny,可以照自己喜欢的选吗 娶妻娶贤 娶妾娶色
1265.jpg,Misogyny,女人只会勾走你的魂魄 吸干你的营养
743.jpg,Not-Misogyny,你要学 不然你所在的领域 就会少一位杰出的女性
864.jpg,Not-Misogyny,你这是在 关心我吗 又是你 我的朋友
1485.jpg,Not-Misogyny,快说 咱俩是不是天下第一好
892.jpg,Not-Misogyny,你爸来了！
1039.jpg,Not-Misogyny,坑 打游戏吗姐妹
207.jpg,Not-Misogyny,怎樣？我是不是該判死刑
393.jpg,Not-Misogyny,老实宅家，来年必发 新型肺炎预防手册
795.jpg,Not-Misogyny,你不会怪我吧
871.jpg,Not-Misogyny,公主请上线
398.jpg,Not-Misogyny,麦？
767.jpg,Misogyny,常言道，儿孙自有儿孙福 没有儿孙我享福
1561.jpg,Not-Misogyny,到点了到点了 今天的赎身钱赚到了 继续停留 是没有意义的···^_^
1242.jpg,Not-Misogyny,走了
1029.jpg,Misogyny,那些刻板印象 所谓假小子 不像个女生 以后怎么嫁出去
643.jpg,Not-Misogyny,生活就是晨起晨落，日子就是早出晚归 无论我活成什么样子，我都相信自己前途无量
1603.jpg,Not-Misogyny,请雇我工作
613.jpg,Misogyny,再不生就晚了！老大多寂寞啊！ 怎么还不要二胎？国家政策都开放了...... 大姑 二姨 姑妈
961.jpg,Not-Misogyny,你的逼事 比火龙果子还多
726.jpg,Not-Misogyny,欧吼！
684.jpg,Misogyny,你体会不到儿行母担忧的感觉 不当父母无忧
99.jpg,Not-Misogyny,没事就多钓鱼 比如 钓钓鲷鱼烧
805.jpg,Not-Misogyny,口罩一戴，福气常在
407.jpg,Not-Misogyny,周五周五 眉飞色舞
503.jpg,Not-Misogyny,告诉你一个好消息 我考上啦！！！
1072.jpg,Not-Misogyny,顺从 收到 不辛苦 是我活该的 我是loopy大人
1057.jpg,Misogyny,为什么不生孩子？ 我穷 怕生出个超穷综合症 生不了
930.jpg,Not-Misogyny,他还说我太敏感 因为被你猜中了
780.jpg,Misogyny,要留住一个男人先留住他的胃，于是，你养出一个猪队友 — —《中国妈妈带娃图鉴》
201.jpg,Not-Misogyny,互相尊重吧 反正大家 都是傻逼
135.jpg,Not-Misogyny,靠自己靠不住了 只有靠老天保佑了
1052.jpg,Misogyny,好孕贩卖机 985 8W 空姐8W 学生5W 5W 请投入您的身份与货币
41.jpg,Not-Misogyny,没有，我不会下班的 我的工作永远做不完
1018.jpg,Misogyny,为什么不生孩子 不想生不认识的人 那你老了怎么办 像你一样到处问
231.jpg,Not-Misogyny,就想着干饭 我不太思考
1514.jpg,Not-Misogyny,很不爽 是恨不得把地球当棒球 一棍子打飞全世界的不爽
379.jpg,Not-Misogyny,我当过孩子 知道孩子没啥用
289.jpg,Not-Misogyny,下班喽！ 今天的苦 先吃到这里
419.jpg,Misogyny,中国生育观念之不生孩子谁照顾你
392.jpg,Not-Misogyny,那你报警吧 我是不会改哒
593.jpg,Misogyny,怎么还不生孩子？ 不是不生是调生（下辈子生）
1523.jpg,Misogyny,既要会赚钱， 又要会做家务带孩子， 同时兼顾事业和家庭。 “你要是不工作，经济就不独立 “你要是不顾家庭，你就是自私” “你要是做全职主妇， 你就没有任何价值 看不見的女性困境
1163.jpg,Not-Misogyny,说我不讲理 因为他说不过你
1087.jpg,Misogyny,锁骨 蝴蝶骨 马甲线 小蛮腰 大长腿
1496.jpg,Misogyny,你现在不结婚 老了怎么办 也像你一样到处问
648.jpg,Misogyny,我的父母：你以后不生孩子 等你老了谁照顾你？ 我：
1153.jpg,Not-Misogyny,无处安放的手手
1368.jpg,Not-Misogyny,真娘们！
521.jpg,Misogyny,不伺候老公 不孝敬公婆
65.jpg,Not-Misogyny,说我太强势 说明你有主见不好拿捏
15.jpg,Not-Misogyny,爆炸 才是工作最好的归宿
1181.jpg,Misogyny,你不结婚 我头都抬不起来 那就低着头走路呗
1065.jpg,Not-Misogyny,我回来了 这次我要拿回属于我的一切！
493.jpg,Misogyny,你看看你姐你姐夫，多幸福 那我也嫁给我姐夫
380.jpg,Not-Misogyny,月曜日 周一该死油饼
188.jpg,Not-Misogyny,我都不敢想象 万一我有钱了 我的道德，思想品德 能不能经得起考验
764.jpg,Not-Misogyny,在小小的工位上 挖呀挖呀挖
217.jpg,Not-Misogyny,好棒！ 做牛做马
792.jpg,Not-Misogyny,你説的這個朋友到底是不是你自己
1077.jpg,Not-Misogyny,茶要泡开，人要想开
879.jpg,Misogyny,你不生孩子死了谁记得你 Who remembers you if you don't have a child and die 你太奶奶叫什么你记得吗？ Do you remember your grandmother's name?
338.jpg,Not-Misogyny,老婆我来啦！ 开小汽车 带老婆出去玩
720.jpg,Misogyny,去你吗的
296.jpg,Not-Misogyny,年后再说
1017.jpg,Not-Misogyny,我不饿啊，怎么啦？
1276.jpg,Not-Misogyny,你的人格类型是：休息者REST
1486.jpg,Misogyny,你不结婚 死了都没人知道 咋的，有人知道我还能活过来？
456.jpg,Misogyny,什么时候结婚 不结婚
1697.jpg,Not-Misogyny,高声些 这、很光彩！
816.jpg,Not-Misogyny,买点零食留着明天吃 我告诉你，零食 ，不许勾引我吃你 说好明天吃你，今晚绝对不碰你
270.jpg,Not-Misogyny,一二三四五 我爱星期五
996.jpg,Not-Misogyny,小狗坐了起来
202.jpg,Not-Misogyny,小样 开车车创死你！
162.jpg,Not-Misogyny,工作乱成一锅粥了 大家快趁热吃吧
1580.jpg,Misogyny,不结婚晚年没伴 结了婚不一定能活到晚年
730.jpg,Not-Misogyny,不行不可以 不能放弃 再扒拉两下一定有糖
402.jpg,Not-Misogyny,托福听力考试时 我 讲座材料
703.jpg,Not-Misogyny,上班别只回复 “好的” 回复：好嘞 跑堂的感觉 假装自己在拉车 有种店小二的服务精神
1501.jpg,Misogyny,那些来自异性的刻板印象或打着为你好的善意性别歧视 头发长
1130.jpg,Not-Misogyny,我再说一遍： 我在坐牢 我在坐牢 咪咪TV 请问你在做什么？
566.jpg,Not-Misogyny,如何在保持好身材的同时，又能比猪还吃得多
1414.jpg,Not-Misogyny,emmmmmm 欲言又止
1022.jpg,Not-Misogyny,证明人 期间所获奖励和接受 您吃过的最大苦是什么 上班
